dc (V),ID(A)_Vg = 0.3,ID(A)_Vg = 0.6,ID(A)_Vg = 0.9,ID(A)_Vg = 1.2,ID(A)_Vg = 1.5,ID(A)_Vg = 1.8
0,0,0,0,0,0,0
-3.60E-02,-1.04E-08,-1.81E-06,-7.10E-06,-1.19E-05,-1.60E-05,-1.93E-05
-7.20E-02,-1.60E-08,-3.31E-06,-1.38E-05,-2.35E-05,-3.16E-05,-3.83E-05
-1.08E-01,-2.11E-08,-4.48E-06,-2.00E-05,-3.45E-05,-4.69E-05,-5.70E-05
-1.44E-01,-2.69E-08,-5.38E-06,-2.57E-05,-4.52E-05,-6.17E-05,-7.53E-05
-1.80E-01,-3.36E-08,-6.11E-06,-3.09E-05,-5.53E-05,-7.61E-05,-9.33E-05
-2.16E-01,-4.13E-08,-6.77E-06,-3.55E-05,-6.48E-05,-9.00E-05,-1.11E-04
-2.52E-01,-5.00E-08,-7.40E-06,-3.96E-05,-7.38E-05,-1.03E-04,-1.28E-04
-2.88E-01,-5.97E-08,-8.01E-06,-4.30E-05,-8.21E-05,-1.16E-04,-1.45E-04
-3.24E-01,-7.06E-08,-8.60E-06,-4.59E-05,-8.98E-05,-1.28E-04,-1.61E-04
-3.60E-01,-8.24E-08,-9.18E-06,-4.83E-05,-9.69E-05,-1.40E-04,-1.76E-04
-3.96E-01,-9.53E-08,-9.75E-06,-5.03E-05,-1.03E-04,-1.51E-04,-1.91E-04
-4.32E-01,-1.09E-07,-1.03E-05,-5.20E-05,-1.09E-04,-1.61E-04,-2.05E-04
-4.68E-01,-1.24E-07,-1.08E-05,-5.35E-05,-1.14E-04,-1.71E-04,-2.19E-04
-5.04E-01,-1.39E-07,-1.14E-05,-5.48E-05,-1.18E-04,-1.80E-04,-2.32E-04
-5.40E-01,-1.55E-07,-1.19E-05,-5.61E-05,-1.22E-04,-1.88E-04,-2.45E-04
-5.76E-01,-1.72E-07,-1.23E-05,-5.73E-05,-1.25E-04,-1.95E-04,-2.56E-04
-6.12E-01,-1.89E-07,-1.28E-05,-5.84E-05,-1.28E-04,-2.02E-04,-2.67E-04
-6.48E-01,-2.07E-07,-1.33E-05,-5.95E-05,-1.30E-04,-2.08E-04,-2.77E-04
-6.84E-01,-2.25E-07,-1.37E-05,-6.05E-05,-1.32E-04,-2.13E-04,-2.87E-04
-7.20E-01,-2.43E-07,-1.41E-05,-6.15E-05,-1.34E-04,-2.18E-04,-2.95E-04
-7.56E-01,-2.61E-07,-1.45E-05,-6.24E-05,-1.35E-04,-2.21E-04,-3.03E-04
-7.92E-01,-2.80E-07,-1.49E-05,-6.33E-05,-1.37E-04,-2.25E-04,-3.10E-04
-8.28E-01,-2.98E-07,-1.53E-05,-6.42E-05,-1.39E-04,-2.28E-04,-3.17E-04
-8.64E-01,-3.17E-07,-1.57E-05,-6.50E-05,-1.40E-04,-2.30E-04,-3.22E-04
-9.00E-01,-3.35E-07,-1.60E-05,-6.58E-05,-1.41E-04,-2.33E-04,-3.27E-04
-9.36E-01,-3.53E-07,-1.63E-05,-6.66E-05,-1.43E-04,-2.35E-04,-3.32E-04
-9.72E-01,-3.70E-07,-1.67E-05,-6.73E-05,-1.44E-04,-2.37E-04,-3.35E-04
-1.008,-3.87E-07,-1.70E-05,-6.80E-05,-1.45E-04,-2.39E-04,-3.39E-04
-1.044,-4.03E-07,-1.73E-05,-6.87E-05,-1.46E-04,-2.41E-04,-3.42E-04
-1.08,-4.19E-07,-1.75E-05,-6.94E-05,-1.47E-04,-2.42E-04,-3.44E-04
-1.116,-4.34E-07,-1.78E-05,-7.00E-05,-1.48E-04,-2.44E-04,-3.47E-04
-1.152,-4.47E-07,-1.81E-05,-7.06E-05,-1.49E-04,-2.45E-04,-3.49E-04
-1.188,-4.60E-07,-1.83E-05,-7.12E-05,-1.50E-04,-2.47E-04,-3.51E-04
-1.224,-4.73E-07,-1.85E-05,-7.18E-05,-1.51E-04,-2.48E-04,-3.53E-04
-1.26,-4.84E-07,-1.87E-05,-7.24E-05,-1.52E-04,-2.50E-04,-3.55E-04
-1.296,-4.94E-07,-1.89E-05,-7.29E-05,-1.53E-04,-2.51E-04,-3.57E-04
-1.332,-5.03E-07,-1.91E-05,-7.34E-05,-1.54E-04,-2.52E-04,-3.59E-04
-1.368,-5.11E-07,-1.93E-05,-7.39E-05,-1.55E-04,-2.53E-04,-3.60E-04
-1.404,-5.18E-07,-1.94E-05,-7.44E-05,-1.55E-04,-2.54E-04,-3.62E-04
-1.44,-5.24E-07,-1.96E-05,-7.49E-05,-1.56E-04,-2.55E-04,-3.63E-04
-1.476,-5.29E-07,-1.97E-05,-7.53E-05,-1.57E-04,-2.56E-04,-3.64E-04
-1.512,-5.33E-07,-1.98E-05,-7.57E-05,-1.58E-04,-2.57E-04,-3.66E-04
-1.548,-5.37E-07,-1.99E-05,-7.62E-05,-1.58E-04,-2.58E-04,-3.67E-04
-1.584,-5.39E-07,-2.00E-05,-7.65E-05,-1.59E-04,-2.59E-04,-3.68E-04
-1.62,-5.40E-07,-2.01E-05,-7.69E-05,-1.60E-04,-2.60E-04,-3.69E-04
-1.656,-5.40E-07,-2.02E-05,-7.73E-05,-1.61E-04,-2.61E-04,-3.70E-04
-1.692,-5.40E-07,-2.03E-05,-7.77E-05,-1.61E-04,-2.62E-04,-3.72E-04
-1.728,-5.39E-07,-2.03E-05,-7.80E-05,-1.62E-04,-2.63E-04,-3.73E-04
-1.764,-5.37E-07,-2.03E-05,-7.83E-05,-1.62E-04,-2.64E-04,-3.74E-04
-1.8,-5.34E-07,-2.04E-05,-7.86E-05,-1.63E-04,-2.65E-04,-3.75E-04
