time (s),Id,Vd
5.13E-08,-3.63E-08,5.08E-01
5.16E-08,-8.89E-05,7.91E-01
5.18E-08,-2.03E-04,1.223
5.20E-08,-3.32E-04,1.452
5.20E-08,-3.34E-04,1.609
5.21E-08,-3.33E-04,1.727
5.21E-08,-3.32E-04,1.764
5.23E-08,-3.31E-04,1.779
5.25E-08,-3.28E-04,1.78
5.29E-08,-3.22E-04,1.781
5.38E-08,-3.08E-04,1.782
5.55E-08,-2.47E-04,1.773
5.68E-08,-1.70E-04,1.749
5.81E-08,-1.02E-04,1.708
5.95E-08,-5.04E-05,1.701
6.09E-08,-2.45E-05,1.753
6.22E-08,-1.22E-05,1.777
6.36E-08,-5.62E-06,1.789
6.53E-08,-2.13E-06,1.796
6.74E-08,-5.73E-07,1.799
7.03E-08,-7.30E-08,1.8
